I_min,R_min,A_min,I_max,R_max,A_max,class,exp
4.0,353.0,22.0,66.0,4872.0,133.0,oil,1
1.0,122.0,25.0,65.0,4848.0,138.0,oil,1
1.0,119.0,17.0,60.0,4464.0,136.0,oil,1
2.0,190.0,15.0,59.0,4352.0,139.0,oil,1
2.0,195.0,18.0,62.0,4585.0,122.0,oil,1
3.0,265.0,22.0,58.0,4277.0,136.0,oil,1
2.0,204.0,18.0,61.0,4546.0,128.0,oil,1
2.0,189.0,15.0,62.0,4547.0,126.0,oil,1
3.0,258.0,21.0,60.0,4417.0,139.0,oil,1
4.0,349.0,21.0,58.0,4272.0,134.0,oil,1
3.0,268.0,23.0,60.0,4419.0,136.0,oil,1
2.0,193.0,19.0,61.0,4519.0,151.0,oil,1
1.0,130.0,21.0,56.0,4152.0,132.0,oil,1
1.0,125.0,17.0,60.0,4478.0,128.0,oil,1
2.0,191.0,21.0,60.0,4430.0,133.0,oil,1
3.0,260.0,20.0,57.0,4216.0,143.0,oil,1
4.0,361.0,22.0,61.0,4488.0,138.0,oil,1
2.0,207.0,15.0,56.0,4180.0,136.0,oil,1
4.0,321.0,18.0,56.0,4164.0,131.0,oil,1
2.0,193.0,25.0,69.0,5079.0,139.0,oil,1
3.0,276.0,19.0,66.0,4853.0,130.0,oil,1
2.0,199.0,20.0,60.0,4467.0,138.0,oil,1
2.0,196.0,22.0,59.0,4329.0,126.0,oil,1
1.0,109.0,19.0,61.0,4482.0,129.0,oil,1
1.0,121.0,20.0,58.0,4285.0,135.0,oil,1
1.0,130.0,17.0,60.0,4471.0,134.0,oil,1
3.0,262.0,21.0,64.0,4716.0,124.0,oil,1
3.0,263.0,21.0,66.0,4854.0,143.0,oil,1
4.0,350.0,22.0,58.0,4316.0,130.0,oil,1
3.0,269.0,20.0,60.0,4482.0,153.0,oil,1
2.0,196.0,24.0,58.0,4294.0,145.0,oil,1
3.0,262.0,18.0,55.0,4029.0,133.0,oil,1
3.0,278.0,21.0,61.0,4528.0,139.0,oil,1
2.0,204.0,22.0,67.0,4973.0,126.0,oil,1
3.0,266.0,20.0,65.0,4829.0,126.0,oil,1
3.0,276.0,19.0,67.0,5008.0,141.0,oil,1
3.0,287.0,14.0,66.0,4816.0,131.0,oil,1
3.0,262.0,21.0,63.0,4634.0,141.0,oil,1
2.0,184.0,22.0,68.0,4990.0,141.0,oil,1
3.0,276.0,21.0,67.0,4931.0,142.0,oil,1
3.0,263.0,25.0,65.0,4823.0,122.0,oil,1
2.0,202.0,22.0,60.0,4459.0,143.0,oil,1
3.0,271.0,20.0,63.0,4632.0,130.0,oil,1
4.0,342.0,23.0,65.0,4794.0,134.0,oil,1
3.0,270.0,20.0,58.0,4257.0,128.0,oil,1
4.0,361.0,19.0,67.0,4952.0,136.0,oil,1
1.0,99.0,18.0,63.0,4642.0,128.0,oil,1
3.0,269.0,22.0,59.0,4392.0,133.0,oil,1
4.0,347.0,18.0,73.0,5367.0,140.0,oil,1
6.0,501.0,21.0,65.0,4752.0,139.0,oil,1
3.0,260.0,24.0,63.0,4669.0,143.0,oil,1
4.0,333.0,21.0,65.0,4824.0,139.0,oil,1
4.0,333.0,17.0,67.0,4929.0,134.0,oil,1
3.0,272.0,20.0,57.0,4237.0,132.0,oil,1
4.0,358.0,22.0,62.0,4553.0,138.0,oil,1
2.0,199.0,22.0,61.0,4507.0,132.0,oil,1
1.0,123.0,19.0,64.0,4706.0,144.0,oil,1
2.0,194.0,18.0,59.0,4367.0,130.0,oil,1
2.0,208.0,21.0,60.0,4469.0,140.0,oil,1
4.0,333.0,20.0,60.0,4426.0,131.0,oil,1
2.0,194.0,19.0,63.0,4656.0,131.0,oil,1
4.0,340.0,20.0,62.0,4565.0,135.0,oil,1
3.0,253.0,22.0,77.0,5669.0,134.0,oil,1
3.0,261.0,22.0,75.0,5562.0,146.0,oil,1
3.0,280.0,21.0,66.0,4920.0,129.0,oil,1
3.0,262.0,17.0,67.0,4972.0,133.0,oil,1
2.0,199.0,19.0,57.0,4268.0,138.0,oil,1
3.0,273.0,19.0,73.0,5386.0,143.0,oil,1
2.0,188.0,20.0,62.0,4607.0,137.0,oil,1
2.0,190.0,21.0,65.0,4794.0,130.0,oil,1
3.0,262.0,23.0,70.0,5146.0,131.0,oil,1
4.0,351.0,21.0,58.0,4313.0,132.0,oil,1
4.0,333.0,14.0,57.0,4200.0,148.0,oil,1
2.0,205.0,22.0,61.0,4560.0,136.0,oil,1
3.0,279.0,18.0,60.0,4435.0,130.0,oil,1
3.0,265.0,17.0,61.0,4547.0,137.0,oil,1
1.0,119.0,20.0,64.0,4684.0,145.0,oil,1
2.0,196.0,19.0,63.0,4640.0,134.0,oil,1
4.0,343.0,18.0,61.0,4541.0,149.0,oil,1
1.0,136.0,19.0,67.0,4932.0,137.0,oil,1
4.0,337.0,20.0,61.0,4537.0,138.0,oil,1
2.0,187.0,23.0,62.0,4622.0,134.0,oil,1
4.0,333.0,20.0,72.0,5283.0,134.0,oil,1
2.0,178.0,15.0,58.0,4314.0,136.0,oil,1
4.0,336.0,17.0,59.0,4323.0,140.0,oil,1
2.0,183.0,20.0,62.0,4568.0,160.0,oil,1
7.0,558.0,21.0,65.0,4786.0,141.0,oil,1
6.0,500.0,22.0,66.0,4906.0,138.0,oil,1
3.0,266.0,18.0,60.0,4470.0,143.0,oil,1
2.0,198.0,16.0,61.0,4541.0,128.0,oil,1
2.0,195.0,21.0,61.0,4554.0,131.0,oil,1
3.0,270.0,20.0,63.0,4630.0,133.0,oil,1
3.0,257.0,18.0,63.0,4654.0,141.0,oil,1
1.0,128.0,14.0,63.0,4641.0,131.0,oil,1
3.0,277.0,21.0,68.0,5072.0,135.0,oil,1
5.0,422.0,17.0,63.0,4626.0,149.0,oil,1
5.0,388.0,24.0,60.0,4467.0,128.0,oil,1
2.0,188.0,21.0,58.0,4301.0,134.0,oil,1
3.0,258.0,22.0,68.0,5035.0,137.0,oil,1
4.0,321.0,21.0,66.0,4889.0,135.0,oil,1
2.0,182.0,18.0,65.0,4785.0,156.0,oil,1
2.0,196.0,21.0,63.0,4648.0,146.0,oil,1
3.0,271.0,20.0,63.0,4616.0,150.0,oil,1
1.0,123.0,17.0,67.0,5006.0,135.0,oil,1
3.0,260.0,20.0,63.0,4628.0,130.0,oil,1
4.0,329.0,17.0,64.0,4711.0,144.0,oil,1
3.0,259.0,19.0,66.0,4854.0,143.0,oil,1
2.0,201.0,19.0,65.0,4788.0,140.0,oil,1
1.0,124.0,17.0,66.0,4879.0,124.0,oil,1
1.0,125.0,13.0,62.0,4640.0,124.0,oil,1
2.0,200.0,23.0,60.0,4409.0,128.0,oil,1
3.0,265.0,19.0,67.0,4986.0,162.0,oil,1
2.0,194.0,21.0,66.0,4913.0,154.0,oil,1
7.0,558.0,19.0,61.0,4553.0,133.0,oil,1
3.0,262.0,20.0,65.0,4773.0,134.0,oil,1
2.0,181.0,23.0,63.0,4646.0,130.0,oil,1
3.0,263.0,20.0,60.0,4430.0,131.0,oil,1
3.0,282.0,20.0,65.0,4800.0,133.0,oil,1
1.0,131.0,21.0,64.0,4679.0,150.0,oil,1
2.0,187.0,22.0,64.0,4716.0,157.0,oil,1
2.0,191.0,20.0,60.0,4489.0,133.0,oil,1
2.0,193.0,18.0,63.0,4644.0,134.0,oil,1
4.0,327.0,20.0,64.0,4739.0,132.0,oil,1
2.0,181.0,17.0,64.0,4762.0,130.0,oil,1
2.0,198.0,18.0,66.0,4873.0,135.0,oil,1
2.0,199.0,19.0,66.0,4846.0,139.0,oil,1
2.0,154.0,17.0,67.0,5001.0,136.0,oil,1
2.0,196.0,23.0,60.0,4428.0,133.0,oil,1
1.0,134.0,22.0,62.0,4584.0,140.0,oil,1
6.0,487.0,19.0,62.0,4612.0,139.0,oil,1
3.0,263.0,20.0,72.0,5303.0,132.0,oil,1
2.0,183.0,18.0,58.0,4252.0,136.0,oil,1
2.0,192.0,19.0,61.0,4551.0,146.0,oil,1
2.0,198.0,20.0,73.0,5363.0,125.0,oil,1
7.0,551.0,19.0,60.0,4456.0,136.0,oil,1
3.0,258.0,17.0,64.0,4751.0,138.0,oil,1
3.0,291.0,16.0,68.0,4994.0,138.0,oil,1
8.0,631.0,20.0,68.0,4992.0,140.0,oil,1
5.0,423.0,19.0,64.0,4713.0,137.0,oil,1
3.0,273.0,20.0,62.0,4604.0,131.0,oil,1
2.0,182.0,21.0,62.0,4624.0,137.0,oil,1
2.0,201.0,19.0,61.0,4535.0,140.0,oil,1
3.0,261.0,22.0,65.0,4793.0,140.0,oil,1
2.0,200.0,15.0,66.0,4903.0,133.0,oil,1
4.0,325.0,22.0,62.0,4578.0,132.0,oil,1
1.0,112.0,17.0,63.0,4624.0,136.0,oil,1
3.0,266.0,17.0,63.0,4625.0,129.0,oil,1
3.0,258.0,18.0,64.0,4674.0,124.0,oil,1
2.0,203.0,17.0,66.0,4865.0,139.0,oil,1
1.0,125.0,22.0,69.0,5138.0,144.0,oil,1
3.0,267.0,20.0,62.0,4573.0,144.0,oil,1
2.0,204.0,22.0,66.0,4861.0,135.0,oil,1
2.0,190.0,24.0,65.0,4783.0,145.0,oil,1
3.0,275.0,19.0,63.0,4687.0,129.0,oil,1
2.0,195.0,20.0,62.0,4562.0,138.0,oil,1
3.0,284.0,20.0,73.0,5373.0,146.0,oil,1
2.0,184.0,18.0,60.0,4459.0,120.0,oil,1
2.0,212.0,23.0,68.0,5007.0,144.0,oil,1
1.0,132.0,19.0,62.0,4569.0,138.0,oil,1
2.0,179.0,18.0,62.0,4585.0,149.0,oil,1
2.0,187.0,21.0,61.0,4544.0,142.0,oil,1
2.0,198.0,20.0,60.0,4415.0,144.0,oil,1
1.0,124.0,17.0,69.0,5085.0,146.0,oil,1
2.0,197.0,20.0,71.0,5239.0,141.0,oil,1
2.0,196.0,15.0,71.0,5280.0,137.0,oil,1
3.0,268.0,17.0,66.0,4853.0,126.0,oil,1
4.0,332.0,16.0,74.0,5478.0,139.0,oil,1
3.0,262.0,21.0,67.0,4962.0,140.0,oil,1
2.0,189.0,23.0,66.0,4929.0,143.0,oil,1
3.0,271.0,21.0,64.0,4716.0,131.0,oil,1
2.0,206.0,19.0,66.0,4856.0,145.0,oil,1
2.0,187.0,21.0,65.0,4776.0,130.0,oil,1
1.0,131.0,19.0,62.0,4631.0,138.0,oil,1
2.0,205.0,22.0,73.0,5389.0,143.0,oil,1
2.0,203.0,22.0,67.0,4994.0,135.0,oil,1
2.0,202.0,19.0,70.0,5219.0,156.0,oil,1
2.0,202.0,21.0,73.0,5372.0,131.0,oil,1
5.0,409.0,23.0,63.0,4690.0,132.0,oil,1
4.0,331.0,21.0,67.0,4954.0,155.0,oil,1
3.0,257.0,21.0,65.0,4845.0,127.0,oil,1
2.0,193.0,21.0,60.0,4466.0,126.0,oil,1
3.0,265.0,21.0,73.0,5354.0,141.0,oil,1
2.0,184.0,20.0,68.0,5018.0,142.0,oil,1
3.0,249.0,18.0,66.0,4890.0,128.0,oil,1
2.0,188.0,22.0,73.0,5365.0,139.0,oil,1
2.0,190.0,21.0,67.0,4930.0,150.0,oil,1
2.0,201.0,19.0,66.0,4881.0,141.0,oil,1
1.0,128.0,24.0,63.0,4689.0,135.0,oil,1
1.0,121.0,22.0,71.0,5264.0,131.0,oil,1
4.0,333.0,17.0,61.0,4549.0,144.0,oil,1
4.0,336.0,25.0,63.0,4706.0,133.0,oil,1
5.0,411.0,19.0,68.0,4996.0,154.0,oil,1
2.0,196.0,23.0,69.0,5145.0,136.0,oil,1
3.0,281.0,21.0,66.0,4907.0,147.0,oil,1
4.0,343.0,17.0,62.0,4548.0,142.0,oil,1
2.0,193.0,19.0,63.0,4686.0,135.0,oil,1
5.0,429.0,19.0,61.0,4541.0,148.0,oil,1
2.0,150.0,17.0,62.0,4567.0,136.0,oil,1
3.0,267.0,24.0,67.0,4944.0,156.0,oil,1
2.0,192.0,19.0,68.0,5005.0,148.0,oil,1
1.0,99.0,18.0,61.0,4507.0,139.0,oil,1
3.0,268.0,19.0,73.0,5361.0,132.0,oil,1
5.0,418.0,18.0,68.0,5091.0,129.0,oil,1
2.0,193.0,20.0,62.0,4581.0,132.0,oil,1
1.0,130.0,17.0,66.0,4874.0,134.0,oil,1
4.0,343.0,18.0,63.0,4685.0,151.0,oil,1
2.0,206.0,19.0,69.0,5136.0,129.0,oil,1
2.0,187.0,19.0,82.0,6034.0,141.0,oil,1
2.0,197.0,20.0,63.0,4633.0,139.0,oil,1
4.0,353.0,22.0,65.0,4794.0,134.0,oil,1
2.0,188.0,21.0,68.0,4994.0,131.0,oil,1
4.0,341.0,20.0,67.0,4923.0,140.0,oil,1
3.0,269.0,20.0,64.0,4783.0,128.0,oil,1
2.0,187.0,17.0,66.0,4923.0,124.0,oil,1
3.0,254.0,18.0,67.0,4944.0,125.0,oil,1
3.0,270.0,21.0,66.0,4844.0,129.0,oil,1
3.0,267.0,21.0,65.0,4837.0,133.0,oil,1
2.0,197.0,21.0,65.0,4801.0,148.0,oil,1
2.0,199.0,22.0,65.0,4770.0,136.0,oil,1
3.0,275.0,24.0,66.0,4905.0,138.0,oil,1
3.0,274.0,22.0,64.0,4704.0,128.0,oil,1
5.0,410.0,22.0,67.0,4924.0,137.0,oil,1
2.0,184.0,20.0,68.0,5000.0,137.0,oil,1
4.0,354.0,16.0,73.0,5378.0,133.0,oil,1
2.0,195.0,14.0,64.0,4710.0,125.0,oil,1
4.0,328.0,15.0,66.0,4838.0,135.0,oil,1
3.0,287.0,20.0,66.0,4881.0,137.0,oil,1
1.0,124.0,20.0,63.0,4616.0,129.0,oil,1
3.0,272.0,18.0,74.0,5443.0,123.0,oil,1
5.0,413.0,20.0,66.0,4909.0,126.0,oil,1
3.0,277.0,23.0,71.0,5200.0,138.0,oil,1
3.0,256.0,20.0,67.0,4995.0,146.0,oil,1
2.0,203.0,24.0,63.0,4638.0,139.0,oil,1
2.0,174.0,17.0,71.0,5197.0,136.0,oil,1
1.0,127.0,24.0,62.0,4610.0,142.0,oil,1
2.0,194.0,25.0,66.0,4869.0,143.0,oil,1
2.0,205.0,20.0,67.0,4912.0,138.0,oil,1
2.0,190.0,20.0,70.0,5182.0,129.0,oil,1
2.0,201.0,19.0,65.0,4792.0,131.0,oil,1
2.0,184.0,19.0,66.0,4878.0,144.0,oil,1
2.0,200.0,19.0,67.0,4983.0,133.0,oil,1
3.0,262.0,17.0,67.0,4940.0,146.0,oil,1
6.0,489.0,20.0,65.0,4825.0,140.0,oil,1
3.0,260.0,23.0,66.0,4922.0,130.0,oil,1
3.0,279.0,24.0,69.0,5075.0,145.0,oil,1
2.0,195.0,22.0,73.0,5364.0,140.0,oil,1
2.0,212.0,15.0,70.0,5128.0,131.0,oil,1
2.0,202.0,22.0,67.0,4964.0,129.0,oil,1
2.0,182.0,19.0,65.0,4802.0,150.0,oil,1
3.0,288.0,17.0,62.0,4609.0,137.0,oil,1
3.0,261.0,17.0,70.0,5192.0,133.0,oil,1
5.0,419.0,18.0,61.0,4529.0,134.0,oil,1
5.0,407.0,20.0,67.0,4928.0,136.0,oil,1
5.0,404.0,21.0,66.0,4851.0,133.0,oil,1
2.0,187.0,21.0,67.0,4937.0,130.0,oil,1
2.0,206.0,20.0,63.0,4667.0,148.0,oil,1
3.0,270.0,16.0,67.0,4936.0,134.0,oil,1
5.0,457.0,18.0,69.0,5141.0,127.0,oil,1
6.0,501.0,21.0,65.0,4835.0,128.0,oil,1
2.0,197.0,17.0,66.0,4875.0,144.0,oil,1
1.0,128.0,17.0,73.0,5375.0,136.0,oil,1
2.0,210.0,21.0,68.0,5025.0,142.0,oil,1
4.0,354.0,21.0,68.0,5022.0,137.0,oil,1
1.0,132.0,17.0,64.0,4766.0,143.0,oil,1
3.0,275.0,20.0,66.0,4911.0,133.0,oil,1
3.0,283.0,22.0,67.0,4933.0,135.0,oil,1
1.0,121.0,17.0,73.0,5404.0,151.0,oil,1
3.0,277.0,18.0,67.0,4927.0,145.0,oil,1
2.0,198.0,17.0,71.0,5218.0,131.0,oil,1
4.0,347.0,17.0,65.0,4753.0,137.0,oil,1
3.0,286.0,20.0,63.0,4688.0,120.0,oil,1
2.0,188.0,24.0,67.0,4912.0,130.0,oil,1
3.0,273.0,16.0,67.0,4932.0,128.0,oil,1
4.0,347.0,21.0,62.0,4566.0,132.0,oil,1
1.0,120.0,20.0,74.0,5448.0,128.0,oil,1
2.0,200.0,19.0,71.0,5236.0,141.0,oil,1
6.0,492.0,21.0,79.0,5808.0,125.0,oil,1
6.0,497.0,21.0,65.0,4798.0,131.0,oil,1
5.0,413.0,21.0,65.0,4797.0,124.0,oil,1
2.0,187.0,19.0,71.0,5218.0,137.0,oil,1
4.0,354.0,22.0,61.0,4513.0,132.0,oil,1
3.0,286.0,21.0,65.0,4764.0,133.0,oil,1
4.0,362.0,20.0,75.0,5561.0,128.0,oil,1
1.0,131.0,22.0,65.0,4841.0,129.0,oil,1
2.0,208.0,19.0,69.0,5072.0,136.0,oil,1
2.0,187.0,20.0,69.0,5116.0,128.0,oil,1
2.0,197.0,21.0,69.0,5061.0,141.0,oil,1
2.0,196.0,20.0,70.0,5155.0,131.0,oil,1
2.0,189.0,18.0,71.0,5267.0,130.0,oil,1
2.0,207.0,17.0,72.0,5328.0,136.0,oil,1
3.0,278.0,18.0,66.0,4876.0,145.0,oil,1
1.0,127.0,22.0,68.0,5070.0,138.0,oil,1
3.0,270.0,22.0,67.0,4940.0,126.0,oil,1
4.0,324.0,21.0,71.0,5243.0,138.0,oil,1
3.0,267.0,16.0,67.0,4951.0,126.0,oil,1
2.0,188.0,18.0,70.0,5181.0,124.0,oil,1
1.0,132.0,18.0,66.0,4855.0,137.0,oil,1
3.0,272.0,21.0,69.0,5062.0,134.0,oil,1
2.0,188.0,17.0,69.0,5086.0,128.0,oil,1
3.0,263.0,18.0,63.0,4642.0,141.0,oil,1
3.0,272.0,21.0,65.0,4789.0,128.0,oil,1
3.0,272.0,19.0,66.0,4891.0,130.0,oil,1
2.0,193.0,20.0,65.0,4837.0,144.0,oil,1
2.0,188.0,19.0,67.0,4940.0,142.0,oil,1
3.0,251.0,17.0,71.0,5289.0,143.0,oil,1
2.0,187.0,22.0,73.0,5361.0,139.0,oil,1
4.0,343.0,21.0,70.0,5210.0,139.0,oil,1
3.0,261.0,21.0,71.0,5229.0,125.0,oil,1
4.0,339.0,23.0,72.0,5296.0,129.0,oil,1
3.0,268.0,21.0,63.0,4649.0,130.0,oil,1
3.0,257.0,14.0,63.0,4683.0,141.0,oil,1
2.0,200.0,21.0,68.0,5028.0,133.0,oil,1
1.0,129.0,20.0,74.0,5443.0,126.0,oil,1
1.0,133.0,21.0,68.0,4986.0,129.0,oil,1
4.0,343.0,21.0,63.0,4643.0,133.0,oil,1
2.0,175.0,16.0,64.0,4715.0,130.0,oil,1
2.0,195.0,19.0,63.0,4664.0,140.0,oil,1
3.0,277.0,20.0,68.0,5013.0,145.0,oil,1
3.0,260.0,20.0,73.0,5394.0,136.0,oil,1
3.0,253.0,22.0,69.0,5087.0,128.0,oil,1
4.0,340.0,16.0,65.0,4792.0,141.0,oil,1
2.0,192.0,20.0,70.0,5220.0,131.0,oil,1
2.0,202.0,18.0,69.0,5077.0,148.0,oil,1
3.0,272.0,22.0,68.0,5004.0,123.0,oil,1
2.0,184.0,20.0,69.0,5076.0,137.0,oil,1
2.0,180.0,17.0,74.0,5470.0,133.0,oil,1
4.0,348.0,20.0,71.0,5221.0,135.0,oil,1
3.0,269.0,22.0,74.0,5438.0,155.0,oil,1
6.0,492.0,21.0,65.0,4802.0,133.0,oil,1
1.0,134.0,20.0,65.0,4844.0,132.0,oil,1
2.0,205.0,18.0,66.0,4882.0,141.0,oil,1
2.0,201.0,22.0,69.0,5084.0,135.0,oil,1
4.0,356.0,18.0,75.0,5541.0,132.0,oil,1
2.0,201.0,23.0,70.0,5190.0,129.0,oil,1
1.0,125.0,18.0,65.0,4820.0,154.0,oil,1
4.0,343.0,20.0,67.0,4948.0,126.0,oil,1
6.0,492.0,20.0,67.0,4934.0,121.0,oil,1
1.0,117.0,21.0,67.0,4967.0,142.0,oil,1
3.0,247.0,18.0,72.0,5318.0,134.0,oil,1
3.0,270.0,22.0,71.0,5221.0,144.0,oil,1
2.0,200.0,17.0,63.0,4658.0,139.0,oil,1
2.0,189.0,20.0,76.0,5642.0,143.0,oil,1
3.0,268.0,20.0,67.0,4926.0,150.0,oil,1
3.0,261.0,20.0,71.0,5259.0,135.0,oil,1
3.0,272.0,22.0,72.0,5295.0,160.0,oil,1
4.0,339.0,18.0,68.0,5014.0,132.0,oil,1
3.0,273.0,20.0,66.0,4897.0,130.0,oil,1
3.0,261.0,20.0,62.0,4603.0,138.0,oil,1
2.0,187.0,18.0,72.0,5302.0,130.0,oil,1
3.0,271.0,20.0,62.0,4564.0,127.0,oil,1
2.0,199.0,19.0,69.0,5144.0,133.0,oil,1
1.0,126.0,20.0,68.0,5075.0,136.0,oil,1
4.0,359.0,20.0,74.0,5472.0,139.0,oil,1
1.0,121.0,17.0,69.0,5091.0,126.0,oil,1
1.0,121.0,21.0,68.0,5017.0,144.0,oil,1
2.0,211.0,22.0,66.0,4873.0,144.0,oil,1
3.0,272.0,17.0,76.0,5598.0,144.0,oil,1
4.0,337.0,17.0,74.0,5467.0,144.0,oil,1
1.0,121.0,21.0,65.0,4792.0,131.0,oil,1
3.0,286.0,21.0,63.0,4715.0,141.0,oil,1
2.0,196.0,18.0,66.0,4876.0,132.0,oil,1
2.0,193.0,22.0,67.0,4921.0,144.0,oil,1
4.0,356.0,23.0,62.0,4561.0,135.0,oil,1
5.0,412.0,22.0,66.0,4921.0,128.0,oil,1
3.0,264.0,19.0,64.0,4770.0,145.0,oil,1
2.0,187.0,19.0,75.0,5594.0,140.0,oil,1
2.0,184.0,22.0,66.0,4917.0,150.0,oil,1
3.0,252.0,21.0,68.0,5042.0,133.0,oil,1
6.0,468.0,20.0,72.0,5303.0,139.0,oil,1
3.0,299.0,17.0,70.0,5165.0,133.0,oil,1
2.0,200.0,20.0,68.0,5021.0,147.0,oil,1
3.0,286.0,19.0,69.0,5083.0,150.0,oil,1
5.0,410.0,18.0,72.0,5284.0,117.0,oil,1
4.0,333.0,23.0,68.0,5030.0,153.0,oil,1
2.0,186.0,16.0,68.0,5020.0,143.0,oil,1
3.0,250.0,20.0,64.0,4742.0,143.0,oil,1
1.0,132.0,19.0,77.0,5664.0,127.0,oil,1
6.0,518.0,19.0,69.0,5086.0,142.0,oil,1
1.0,132.0,19.0,70.0,5239.0,137.0,oil,1
2.0,198.0,18.0,74.0,5492.0,135.0,oil,1
3.0,277.0,21.0,69.0,5085.0,130.0,oil,1
3.0,271.0,18.0,66.0,4861.0,131.0,oil,1
5.0,413.0,18.0,77.0,5698.0,128.0,oil,1
5.0,423.0,23.0,65.0,4792.0,134.0,oil,1
5.0,403.0,9.0,67.0,4974.0,136.0,oil,1
2.0,190.0,23.0,71.0,5250.0,134.0,oil,1
4.0,343.0,22.0,64.0,4710.0,140.0,oil,1
3.0,255.0,19.0,68.0,5006.0,155.0,oil,1
5.0,396.0,13.0,66.0,4889.0,145.0,oil,1
3.0,283.0,22.0,66.0,4905.0,136.0,oil,1
2.0,206.0,22.0,69.0,5123.0,135.0,oil,1
1.0,123.0,22.0,64.0,4774.0,138.0,oil,1
4.0,328.0,19.0,65.0,4784.0,131.0,oil,1
5.0,427.0,19.0,71.0,5259.0,138.0,oil,1
3.0,261.0,20.0,67.0,5019.0,137.0,oil,1
2.0,207.0,23.0,70.0,5160.0,122.0,oil,1
3.0,262.0,21.0,74.0,5477.0,137.0,oil,1
2.0,192.0,22.0,69.0,5109.0,132.0,oil,1
3.0,279.0,26.0,69.0,5070.0,141.0,oil,1
1.0,131.0,23.0,64.0,4778.0,141.0,oil,1
2.0,181.0,22.0,70.0,5185.0,138.0,oil,1
3.0,258.0,19.0,75.0,5567.0,140.0,oil,1
3.0,248.0,21.0,74.0,5460.0,137.0,oil,1
2.0,204.0,23.0,71.0,5228.0,154.0,oil,1
2.0,185.0,22.0,72.0,5289.0,145.0,oil,1
1.0,130.0,24.0,72.0,5310.0,142.0,oil,1
3.0,255.0,15.0,74.0,5476.0,123.0,oil,1
3.0,267.0,20.0,73.0,5355.0,132.0,oil,1
8.0,647.0,23.0,65.0,4798.0,152.0,oil,1
3.0,260.0,18.0,70.0,5184.0,130.0,oil,1
4.0,356.0,25.0,67.0,4913.0,129.0,oil,1
5.0,425.0,17.0,75.0,5564.0,133.0,oil,1
4.0,349.0,19.0,72.0,5288.0,133.0,oil,1
4.0,340.0,17.0,69.0,5131.0,140.0,oil,1
2.0,205.0,20.0,68.0,4986.0,135.0,oil,1
3.0,266.0,18.0,69.0,5070.0,146.0,oil,1
3.0,268.0,21.0,79.0,5843.0,144.0,oil,1
4.0,339.0,22.0,66.0,4877.0,141.0,oil,1
2.0,196.0,16.0,74.0,5468.0,139.0,oil,1
2.0,210.0,17.0,77.0,5635.0,133.0,oil,1
2.0,199.0,17.0,68.0,5002.0,142.0,oil,1
2.0,198.0,19.0,70.0,5153.0,135.0,oil,1
1.0,128.0,16.0,71.0,5228.0,135.0,oil,1
4.0,336.0,23.0,70.0,5205.0,129.0,oil,1
1.0,121.0,21.0,73.0,5369.0,137.0,oil,1
4.0,331.0,21.0,73.0,5363.0,145.0,oil,1
2.0,186.0,21.0,71.0,5234.0,140.0,oil,1
3.0,268.0,24.0,73.0,5344.0,135.0,oil,1
3.0,262.0,19.0,66.0,4886.0,137.0,oil,1
3.0,258.0,21.0,67.0,4943.0,136.0,oil,1
2.0,187.0,21.0,65.0,4832.0,131.0,oil,1
2.0,191.0,19.0,64.0,4771.0,139.0,oil,1
3.0,260.0,25.0,63.0,4644.0,136.0,oil,1
5.0,443.0,20.0,72.0,5327.0,125.0,oil,1
2.0,198.0,23.0,68.0,5046.0,142.0,oil,1
3.0,281.0,19.0,71.0,5218.0,137.0,oil,1
3.0,262.0,21.0,70.0,5171.0,132.0,oil,1
2.0,204.0,24.0,70.0,5153.0,142.0,oil,1
4.0,333.0,17.0,75.0,5532.0,133.0,oil,1
3.0,273.0,24.0,67.0,4944.0,136.0,oil,1
2.0,191.0,17.0,67.0,4924.0,132.0,oil,1
5.0,410.0,16.0,71.0,5256.0,149.0,oil,1
4.0,345.0,24.0,71.0,5246.0,156.0,oil,1
3.0,276.0,12.0,81.0,6041.0,133.0,oil,1
3.0,270.0,20.0,70.0,5168.0,138.0,oil,1
2.0,195.0,19.0,67.0,4945.0,137.0,oil,1
2.0,205.0,20.0,66.0,4926.0,137.0,oil,1
4.0,339.0,21.0,75.0,5538.0,132.0,oil,1
4.0,339.0,18.0,72.0,5346.0,137.0,oil,1
2.0,201.0,22.0,72.0,5330.0,135.0,oil,1
6.0,504.0,18.0,49.0,3646.0,154.0,dirt,5
2.0,203.0,21.0,54.0,4005.0,144.0,dirt,5
3.0,253.0,12.0,50.0,3743.0,146.0,dirt,5
3.0,266.0,20.0,47.0,3476.0,151.0,dirt,5
3.0,252.0,23.0,51.0,3807.0,156.0,dirt,5
3.0,264.0,21.0,49.0,3635.0,148.0,dirt,5
7.0,550.0,20.0,50.0,3696.0,144.0,dirt,5
5.0,411.0,18.0,56.0,4137.0,147.0,dirt,5
3.0,270.0,17.0,47.0,3504.0,144.0,dirt,5
4.0,331.0,16.0,53.0,3919.0,148.0,dirt,5
4.0,341.0,21.0,55.0,4077.0,149.0,dirt,5
2.0,203.0,19.0,51.0,3808.0,342.0,dirt,5
3.0,257.0,18.0,45.0,3343.0,156.0,dirt,5
2.0,183.0,17.0,47.0,3480.0,151.0,dirt,5
3.0,264.0,19.0,49.0,3646.0,142.0,dirt,5
